8,23,2,,4,4,4,0,0,5行,方案17
8,23,2,4,4,,,,,6行,方案17
8,23,7,7,1,1,3,3,,0行,方案18
8,23,7,,1,1,2,3,,1行,方案18
8,23,7,7,1,5,2,3,3,2行,方案18
8,23,6,4,5,5,2,2,2,3行,方案18
8,23,6,4,4,5,0,0,0,4行,方案18
8,23,6,,4,5,0,0,0,5行,方案18
8,23,6,6,4,,,,,6行,方案18
8,23,7,7,7,1,1,1,,0行,方案19
8,23,7,,7,3,1,1,,1行,方案19
8,23,5,3,3,3,0,0,0,2行,方案19
8,23,5,3,4,4,0,0,0,3行,方案19
8,23,5,5,2,4,4,4,6,4行,方案19
8,23,5,,2,6,6,6,6,5行,方案19
8,23,2,2,2,,,,,6行,方案19
8,23,7,7,3,3,1,1,,0行,方案20
8,23,7,,2,3,1,1,,1行,方案20
8,23,7,7,2,3,3,1,5,2行,方案20
8,23,6,4,2,2,2,5,5,3行,方案20
8,23,6,4,4,0,0,0,5,4行,方案20
8,23,6,,4,0,0,0,5,5行,方案20
8,23,6,6,4,,,,,6行,方案20
8,23,6,6,6,6,1,1,,0行,方案21
8,23,6,,4,4,1,1,,1行,方案21
8,23,4,4,4,3,3,1,5,2行,方案21
8,23,0,0,0,2,3,5,5,3行,方案21
8,23,0,0,0,2,3,3,5,4行,方案21
8,23,7,,7,2,2,2,5,5行,方案21
8,23,7,7,7,,,,,6行,方案21
8,23,6,6,6,6,3,3,,0行,方案22
8,23,6,,0,0,4,3,,1行,方案22
8,23,1,1,0,0,4,3,3,2行,方案22
8,23,1,1,0,0,4,4,2,3行,方案22
8,23,1,5,5,5,5,4,2,4行,方案22
8,23,7,,7,5,2,2,2,5行,方案22
8,23,7,7,7,,,,,6行,方案22
8,23,6,6,6,6,1,1,,0行,方案23
8,23,6,,4,4,1,1,,1行,方案23
8,23,4,4,4,5,1,3,3,2行,方案23
8,23,0,0,0,5,5,3,2,3行,方案23
8,23,0,0,0,5,3,3,2,4行,方案23
8,23,7,,7,5,2,2,2,5行,方案23
8,23,7,7,7,,,,,6行,方案23
8,23,6,6,6,6,3,3,,0行,方案24
8,23,6,,1,1,1,3,,1行,方案24
8,23,5,7,7,1,1,3,3,2行,方案24
8,23,5,5,7,0,0,0,2,3行,方案24
8,23,5,7,7,0,0,0,2,4行,方案24
8,23,5,,4,4,2,2,2,5行,方案24
8,23,4,4,4,,,,,6行,方案24
8,23,2,2,2,1,3,3,,0行,方案25
8,23,2,,4,1,1,3,,1行,方案25
8,23,2,4,4,1,1,3,3,2行,方案25
8,23,6,4,5,7,7,0,0,3行,方案25
8,23,6,4,5,5,7,0,0,4行,方案25
8,23,6,,5,7,7,0,0,5行,方案25
8,23,6,6,5,,,,,6行,方案25
8,23,6,6,6,6,3,3,,0行,方案26
8,23,6,,2,2,2,3,,1行,方案26
8,23,1,1,1,4,2,3,3,2行,方案26
8,23,1,1,5,4,2,0,0,3行,方案26
8,23,7,7,5,4,4,0,0,4行,方案26
8,23,7,,5,5,4,0,0,5行,方案26
8,23,7,7,5,,,,,6行,方案26
8,23,7,7,7,5,3,3,,0行,方案27
8,23,7,,7,5,6,3,,1行,方案27
8,23,1,1,5,5,6,3,3,2行,方案27
8,23,1,1,1,5,6,0,0,3行,方案27
8,23,2,4,4,6,6,0,0,4行,方案27
8,23,2,,4,4,4,0,0,5行,方案27
8,23,2,2,2,,,,,6行,方案27
8,23,6,6,6,6,0,0,,0行,方案28
8,23,6,,3,4,0,0,,1行,方案28
8,23,3,3,3,4,0,0,5,2行,方案28
8,23,3,1,1,4,4,5,5,3行,方案28
8,23,2,1,1,7,4,7,5,4行,方案28
8,23,2,,1,7,7,7,5,5行,方案28
8,23,2,2,2,,,,,6行,方案28
8,23,7,7,1,1,0,0,,0行,方案29
8,23,7,,1,1,0,0,,1行,方案29
8,23,7,7,3,1,0,0,5,2行,方案29
8,23,4,4,3,3,3,5,5,3行,方案29
8,23,2,4,4,4,3,6,5,4行,方案29
8,23,2,,6,6,6,6,5,5行,方案29
8,23,2,2,2,,,,,6行,方案29
8,23,7,7,6,6,6,6,,0行,方案30
8,23,7,,6,1,1,4,,1行,方案30
8,23,7,7,1,1,1,4,4,2行,方案30
8,23,5,5,5,5,3,3,4,3行,方案30
8,23,2,5,0,0,0,3,4,4行,方案30
8,23,2,,0,0,0,3,3,5行,方案30
8,23,2,2,2,,,,,6行,方案30
8,23,7,7,0,0,0,4,,0行,方案31
8,23,7,,0,0,0,4,,1行,方案31
8,23,7,7,3,3,4,4,5,2行,方案31
8,23,1,1,1,3,4,5,5,3行,方案31
8,23,2,1,1,3,3,6,5,4行,方案31
8,23,2,,6,6,6,6,5,5行,方案31
8,23,2,2,2,,,,,6行,方案31
8,23,2,2,2,7,7,7,,0行,方案32
8,23,2,,4,7,3,7,,1行,方案32
8,23,2,4,4,5,3,3,3,2行,方案32
8,23,6,4,5,5,5,5,3,3行,方案32
8,23,6,4,1,1,0,0,0,4行,方案32
8,23,6,,1,1,0,0,0,5行,方案32
8,23,6,6,1,,,,,6行,方案32
8,23,2,2,2,7,7,7,,0行,方案33
8,23,2,,4,7,5,7,,1行,方案33
8,23,2,4,4,5,5,5,5,2行,方案33
8,23,6,4,1,1,1,0,0,3行,方案33
8,23,6,4,1,1,3,0,0,4行,方案33
8,23,6,,3,3,3,0,0,5行,方案33
8,23,6,6,3,,,,,6行,方案33
8,23,7,7,6,6,3,3,,0行,方案34
